Kpop Groups,Generation,Members,Debut Year,Fandom Name,Pop Songs,Disbanded,Awards,Nominations,Number of Songs
Bts,3,7,2013,A.R.M.Y,Run BTS,N/A,483,692,235
Blackpink,3,4,2016,Blink,HYLT,N/A,85,290,58
TXT,4,5,2019,Moa,0X1=LoveSong,N/A,28,85,61
Enhypen,4,7,2020,Engene,GivenTaken,N/A,30,24,10
Stray Kids,4,8,2018,Stay,Case143,N/A,40,96,105
IZONE,3,12,2018,Wizone,Panorama,2021,24,74,18
Itzy,4,5,2019,Midzy,Wannabe,N/A,29,96,46
Twice,3,9,2015,Once,Talk that Talk,N/A,113,292,167
GIDLE,3,5,2018,Never Land,Tomboy,N/A,35,120,28
Aespa,4,4,2020,My,Black Mamba,N/A,34,73,7
Winner,3,4,2014,InnerCircle,Really Really,N/A,17,82,49
Seventeen,3,13,2015,Carat,Hot,N/A,67,200,74
EXO,3,9,2012,Exo-L,Love Shot,N/A,176,315,96
Big Bang,2,4,2006,VIPs,Bang Bang,2018,135,219,77
Red Velvet,3,5,2014,ReVeluv,Feel My Rhythm,N/A,58,215,118
SUPER JUNIOR,2,10,2005,ELF,Devil,N/A,171,255,139
GOT7,3,7,2014,IGOT7,Don't Care,N/A,56,178,58
TREASURE,4,12,2020,Teume ,Darari,N/A,9,14,12
APINK,3,5,2011,Pink Panda,Hush,N/A,32,98,95
GIRLS' GEN,2,9,2007,Sone,Forever 1,N/A,127,236,91
MONSTAX,3,6,2015,Monbebe,Got My Number,N/A,53,139,126
MAMAMOO,3,4,2014,MooMoo,Mr.Ambiguous,N/A,44,161,102
SHINee,2,4,2008,SHINee World,Ring Ding Dong,N/A,61,135,130
Wonder Girls,2,7,2007,Wonderfuls,Nobody,2017,48,96,42
Shinhwa,2,6,1998,Shinhwa Changjo,T.O.P,N/A,38,72,82
NCT,3,23,2016,NCTzen,Baby Dont't Stop,N/A,58,171,16
BLOCK B,3,7,2011,BBC,Nillili Mambo,2018,10,27,44
NCT127,3,10,2016,NCTzen,Kick it,N/A,82,229,184
Loona,2,12,2006,Orbit,FavOriTe,N/A,13,23,78

